Synthesizable,material_id,formula,crystal_system,Space Group Symbol,Space Group Number,Sites,energy_above_hull,formation_energy,predicted_stable,Volume,density,band_gap,Is Gap Direct,is_metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
True,mp-1174283,Li4Mn3O7,Triclinic,P-1,2,28,0.046666514999986,-2.121878920151889,False,258.37005150705664,3.91498097233437,0.0,False,True,FM,22.0037804,,,,,,,,,,,,,,,
True,mp-1174285,Li4Mn3O7,Triclinic,P-1,2,28,0.027696310357129,-2.140849124794746,False,258.23122267905137,3.917085722543944,0.005199999999999,False,False,FM,22.0000001,,,,,,,,,,,,,,,
True,mp-1174287,Li4Mn3O7,Triclinic,P-1,2,28,0.029939179285701,-2.138606255866174,False,257.7556780645345,3.924312523652434,0.886699999999999,False,False,FM,22.0016745,,,,,,,,,,,,,,,
True,mp-1174288,Li4Mn3O7,Triclinic,P-1,2,28,0.026384535714273,-2.1421608994376022,False,259.13683357464254,3.9033966013936734,0.9137,False,False,FM,22.0003793,,,,,,,,,,,,,,,
True,mp-1174294,Li4Mn3O7,Triclinic,P-1,2,28,0.02842843785713,-2.140116997294746,False,260.4742125874345,3.88335499865131,0.8471000000000001,False,False,FM,22.0002861,,,,,,,,,,,,,,,
True,mp-1174296,Li4Mn3O7,Triclinic,P-1,2,28,0.023999256785701,-2.144546178366174,False,257.8889713454531,3.922284191502756,0.9933,False,False,FM,22.0019168,,,,,,,,,,,,,,,
True,mp-1174297,Li4Mn3O7,Triclinic,P-1,2,28,0.030429804999986,-2.138115630151889,False,258.5971726340811,3.911542516756304,0.8592000000000001,False,False,FM,21.9993133,,,,,,,,,,,,,,,
True,mp-1174299,Li4Mn3O7,Monoclinic,C2/m,12,28,0.044723666428558,-2.123821768723317,False,260.0494908668266,3.889697426822428,1.198099999999999,False,False,FM,22.0008915,,,,,,,,,,,,,,,
True,mp-1174308,Li4Mn3O7,Triclinic,P-1,2,28,0.028915499642844,-2.139629935509032,False,260.25315422829686,3.886653510388839,0.8441999999999991,False,False,FM,22.0008012,,,,,,,,,,,,,,,
True,mp-1174312,Li4Mn3O7,Triclinic,P-1,2,28,0.028373041428558,-2.140172393723317,False,261.1726548946108,3.872969916698772,0.6667000000000001,False,False,FM,22.0010545,,,,,,,,,,,,,,,
True,mp-1174316,Li4Mn3O7,Triclinic,P-1,2,28,0.047833623214272,-2.120711811937603,False,258.8372161901455,3.907914983632437,0.489,False,False,FM,22.0012958,,,,,,,,,,,,,,,
True,mp-1174320,Li4Mn3O7,Triclinic,P-1,2,28,0.033548233571416,-2.13499720158046,False,260.7455487202535,3.879313915177905,0.7222000000000001,False,False,FM,22.0014611,,,,,,,,,,,,,,,
True,mp-1174326,Li4Mn3O7,Triclinic,P-1,2,28,0.047692522499986,-2.120852912651889,False,257.2934848312189,3.931362024711654,0.5547999999999991,False,False,FM,22.0000001,,,,,,,,,,,,,,,
True,mp-1174330,Li4Mn3O7,Triclinic,P-1,2,28,0.044460297142844,-2.124085138009031,False,260.0913304901093,3.88907171017622,0.6903,False,False,FM,21.9999983,,,,,,,,,,,,,,,
True,mp-1174337,Li4Mn3O7,Monoclinic,C2/m,12,28,0.025670404999987,-2.142875030151888,False,260.024807430728,3.890066665045606,0.9809,False,False,FM,22.0001828,,,,,,,,,,,,,,,
