iteration,removed_index,added_index,dNN_objective,unique_profiles_objective,mean_pairwise_objective,mean_Q,worst_rule_regret,regret_budget
0,,,0.6828138528138524,15,7.243873204090596,0.9054044684939361,0.08750000000000002,0.08750000000000002
1,124,22,0.9116450216450214,15,6.155539870757261,0.8969352439021623,0.07615384615384613,0.08750000000000002
2,14,85,1.0173593073593075,14,5.509111299328691,0.8832760769190868,0.08346153846153848,0.08750000000000002
3,55,6,1.0497402597402599,13,5.146412886630278,0.8730280428645291,0.08596153846153853,0.08750000000000002
