dataset,comparison,seed_band_gap,FICD_band_gap,seed_worst_regret,FICD_worst_regret,seed_dNN_TV,FICD_dNN_TV
MP,TV FICD vs quality seed,1.3720719999999997,1.3557519999999996,0.08750000000000002,0.08730769230769231,0.00977633477633478,0.016443001443001447
WBM,TV FICD vs quality seed,2.4224,2.3756,0.0444444444444444,0.04355555555555557,0.12733333333333335,0.14733333333333334
