dataset,eligibility_threshold_families,reservoir_size,feasible,N,mean_band_gap_eV,mean_Ehull_eV_atom,mean_consensus_C,mean_formula_sensitivity_V,mean_SII,avg_rule_regret,worst_rule_regret,selected_min_family_support,selected_mean_family_support,seed_worst_rule_regret,accepted_swaps,dNN_TV
MP,1,63,True,25.0,1.3557519999999996,0.01806075112372688,0.9074759030613722,0.07200642560543614,0.8500818787903529,0.03120192307692307,0.08730769230769231,2.0,3.72,0.08750000000000002,1.0,0.016443001443001447
MP,2,39,True,25.0,1.3557519999999996,0.01806075112372688,0.9074759030613722,0.07200642560543614,0.8500818787903529,0.03120192307692307,0.08730769230769231,2.0,3.72,0.08750000000000002,1.0,0.016443001443001447
MP,3,33,True,25.0,1.3575159999999997,0.017873302976726638,0.9108910508362219,0.07050522256677116,0.8533104507022848,0.02794471153846151,0.08538461538461517,3.0,3.76,0.08750000000000002,1.0,0.010443001443001445
MP,4,20,False,,,,,,,,,,,,,
WBM,1,34,True,25.0,2.3756,0.03039656,0.7066687188147004,0.12236692286660283,0.6401736797758236,0.020333333333333294,0.04355555555555557,3.0,3.96,0.0444444444444444,1.0,0.14733333333333334
WBM,2,28,True,25.0,2.3756,0.03039656,0.7066687188147004,0.12236692286660283,0.6401736797758236,0.020333333333333294,0.04355555555555557,3.0,3.96,0.0444444444444444,1.0,0.14733333333333334
WBM,3,27,True,25.0,2.3756,0.03039656,0.7066687188147004,0.12236692286660283,0.6401736797758236,0.020333333333333294,0.04355555555555557,3.0,3.96,0.0444444444444444,1.0,0.14733333333333334
WBM,4,25,True,25.0,2.4224,0.03103652,0.7182304884375732,0.10858920941851206,0.6550986159572608,0.010166666666666643,0.0444444444444444,4.0,4.0,0.0444444444444444,0.0,0.12733333333333335
